lvl2: 	EmulationStation - v2.0.1a, built Apr 20 2016 - 22:51:41
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/c64/gamelist.xml"...
lvl1: 	System "c64" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "coco" (platform "coco" from list "coco")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/coco/gamelist.xml"...
lvl1: 	System "coco" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "dragon32" (platform "dragon32" from list "dragon32")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/dragon32/gamelist.xml"...
lvl1: 	System "dragon32" has no games! Ignoring it.
lvl1: 	Error - folder with path ""/home/pi/RetroPie/roms/dreamcast"" is not a directory!
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/dreamcast/gamelist.xml"...
lvl1: 	System "dreamcast" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/fba/gamelist.xml"...
lvl1: 	System "fba" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "fds" (platform "fds" from list "fds")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/fds/gamelist.xml"...
lvl1: 	System "fds" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gamegear/gamelist.xml"...
lvl1: 	System "gamegear" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gb/gamelist.xml"...
lvl1: 	System "gb" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gba/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gbc/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/intellivision/gamelist.xml"...
lvl1: 	System "intellivision" has no games! Ignoring it.
lvl1: 	Error - folder with path ""/home/pi/RetroPie/roms/macintosh"" is not a directory!
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/macintosh/gamelist.xml"...
lvl1: 	System "macintosh" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/mame-advmame/gamelist.xml"...
lvl1: 	File ""/home/pi/RetroPie/roms/mame-advmame/Space Invaders (USA).zip"" does not exist! Ignoring.
lvl1: 	System "mame-advmame" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/mame-libretro/gamelist.xml"...
lvl1: 	System "mame-libretro" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/mame-mame4all/gamelist.xml"...
lvl1: 	File ""/home/pi/RetroPie/roms/mame-mame4all/Space Invaders (USA).zip"" does not exist! Ignoring.
lvl1: 	System "mame-mame4all" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/mastersystem/gamelist.xml"...
lvl1: 	System "mastersystem" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/megadrive/gamelist.xml"...
lvl1: 	System "megadrive" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/msx/gamelist.xml"...
lvl1: 	System "msx" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/n64/gamelist.xml"...
lvl1: 	System "n64" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/neogeo/gamelist.xml"...
lvl1: 	System "neogeo" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/nes/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/ngp/gamelist.xml"...
lvl1: 	System "ngp" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/ngpc/gamelist.xml"...
lvl1: 	System "ngpc" has no games! Ignoring it.
lvl1: 	Error - folder with path ""/home/pi/RetroPie/roms/pc"" is not a directory!
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/pc/gamelist.xml"...
lvl1: 	File ""/home/pi/RetroPie/roms/pc/+Start DOSBox.sh"" does not exist! Ignoring.
lvl1: 	System "pc" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/pcengine/gamelist.xml"...
lvl1: 	System "pcengine" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/ports/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/psp/gamelist.xml"...
lvl1: 	System "psp" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/psx/gamelist.xml"...
lvl1: 	System "psx" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/retropie/gamelist.xml"...
lvl1: 	  Unknown platform for system "scummvm" (platform "scummvm" from list "scummvm")
lvl1: 	Error - folder with path ""/home/pi/RetroPie/roms/scummvm"" is not a directory!
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/scummvm/gamelist.xml"...
lvl1: 	System "scummvm" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/sega32x/gamelist.xml"...
lvl1: 	System "sega32x" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/segacd/gamelist.xml"...
lvl1: 	System "segacd" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "sg-1000" (platform "sg-1000" from list "sg-1000")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/sg-1000/gamelist.xml"...
lvl1: 	System "sg-1000" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/snes/gamelist.xml"...
lvl1: 	  Unknown platform for system "vectrex" (platform "vectrex" from list "vectrex")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/vectrex/gamelist.xml"...
lvl1: 	System "vectrex" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "videopac" (platform "videopac" from list "videopac")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/videopac/gamelist.xml"...
lvl1: 	System "videopac" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/wonderswan/gamelist.xml"...
lvl1: 	System "wonderswan" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/wonderswancolor/gamelist.xml"...
lvl1: 	System "wonderswancolor" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "zmachine" (platform "zmachine" from list "zmachine")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/zmachine/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/zxspectrum/gamelist.xml"...
lvl1: 	System "zxspectrum" has no games! Ignoring it.
lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
lvl2: 	Configuring device 0 (Microsoft X-Box 360 pad).
lvl2: 	  Mapping [Hat 0 up] -> Up
lvl2: 	  Mapping [Hat 0 down] -> Down
lvl2: 	  Mapping [Hat 0 left] -> Left
lvl2: 	  Mapping [Hat 0 right] -> Right
lvl2: 	  Mapping [Button 7] -> Start
lvl2: 	  Mapping [Button 6] -> Select
lvl2: 	  Mapping [Button 0] -> A
lvl2: 	  Mapping [Button 1] -> B
lvl2: 	  Mapping [Button 2] -> X
lvl2: 	  Mapping [Button 3] -> Y
lvl2: 	  Mapping [Button 4] -> LeftBottom
lvl2: 	  Mapping [Button 5] -> RightBottom
lvl2: 	  Mapping [Axis 2-] -> LeftTop
lvl2: 	  Mapping [Axis 2+] -> RightTop
lvl2: 	  Mapping [Button 10] -> RightThumb
lvl2: 	  Mapping [Axis 1-] -> LeftAnalogUp
lvl2: 	  Mapping [Axis 1+] -> LeftAnalogDown
lvl2: 	  Mapping [Axis 0-] -> LeftAnalogLeft
lvl2: 	  Mapping [Axis 0+] -> LeftAnalogRight
lvl2: 	  Mapping [Axis 4-] -> RightAnalogUp
lvl2: 	  Mapping [Axis 4+] -> RightAnalogDown
lvl2: 	  Mapping [Axis 3-] -> RightAnalogLeft
lvl2: 	  Mapping [Axis 3+] -> RightAnalogRight
lvl2: 		/opt/retropie/supplementary/emulationstation/scripts/inputconfiguration.sh
lvl2: 	Configuring device 0 (Microsoft X-Box 360 pad).
lvl2: 	  Mapping [Hat 0 up] -> Up
lvl2: 	  Mapping [Hat 0 down] -> Down
lvl2: 	  Mapping [Hat 0 left] -> Left
lvl2: 	  Mapping [Hat 0 right] -> Right
lvl2: 	  Mapping [Button 7] -> Start
lvl2: 	  Mapping [Button 6] -> Select
lvl2: 	  Mapping [Button 0] -> A
lvl2: 	  Mapping [Button 1] -> B
lvl2: 	  Mapping [Button 2] -> X
lvl2: 	  Mapping [Button 3] -> Y
lvl2: 	  Mapping [Button 4] -> LeftBottom
lvl2: 	  Mapping [Button 5] -> RightBottom
lvl2: 	  Mapping [Axis 5-] -> RightTop
lvl2: 	  Mapping [Button 10] -> RightThumb
lvl2: 	  Mapping [Axis 1+] -> LeftAnalogUp
lvl2: 	  Mapping [Axis 1-] -> LeftAnalogDown
lvl2: 	  Mapping [Axis 0-] -> LeftAnalogLeft
lvl2: 	  Mapping [Axis 0+] -> LeftAnalogRight
lvl2: 	  Mapping [Axis 4-] -> RightAnalogUp
lvl2: 	  Mapping [Axis 4+] -> RightAnalogDown
lvl2: 	  Mapping [Axis 3-] -> RightAnalogLeft
lvl2: 	  Mapping [Axis 3+] -> RightAnalogRight
lvl2: 		/opt/retropie/supplementary/emulationstation/scripts/inputconfiguration.sh
lvl2: 	Configuring device 0 (Microsoft X-Box 360 pad).
lvl2: 	  Mapping [Hat 0 up] -> Up
lvl2: 	  Mapping [Hat 0 down] -> Down
lvl2: 	  Mapping [Hat 0 left] -> Left
lvl2: 	  Mapping [Hat 0 right] -> Right
lvl2: 	  Mapping [Button 7] -> Start
lvl2: 	  Mapping [Button 6] -> Select
lvl2: 	  Mapping [Button 0] -> A
lvl2: 	  Mapping [Button 1] -> B
lvl2: 	  Mapping [Button 2] -> X
lvl2: 	  Mapping [Button 3] -> Y
lvl2: 	  Mapping [Button 4] -> LeftBottom
lvl2: 	  Mapping [Button 5] -> RightBottom
lvl2: 	  Mapping [Axis 2+] -> RightTop
lvl2: 	  Mapping [Button 10] -> RightThumb
lvl2: 	  Mapping [Axis 1-] -> LeftAnalogUp
lvl2: 	  Mapping [Axis 1+] -> LeftAnalogDown
lvl2: 	  Mapping [Axis 0-] -> LeftAnalogLeft
lvl2: 	  Mapping [Axis 0+] -> LeftAnalogRight
lvl2: 	  Mapping [Axis 4-] -> RightAnalogUp
lvl2: 	  Mapping [Axis 4+] -> RightAnalogDown
lvl2: 	  Mapping [Axis 3-] -> RightAnalogLeft
lvl2: 	  Mapping [Axis 3+] -> RightAnalogRight
lvl2: 		/opt/retropie/supplementary/emulationstation/scripts/inputconfiguration.sh
lvl2: 	Configuring device 0 (Microsoft X-Box 360 pad).
lvl2: 	  Mapping [Hat 0 up] -> Up
lvl2: 	  Mapping [Hat 0 down] -> Down
lvl2: 	  Mapping [Hat 0 left] -> Left
lvl2: 	  Mapping [Hat 0 right] -> Right
lvl2: 	  Mapping [Button 7] -> Start
lvl2: 	  Mapping [Button 6] -> Select
lvl2: 	  Mapping [Button 0] -> A
lvl2: 	  Mapping [Button 1] -> B
lvl2: 	  Mapping [Button 2] -> X
lvl2: 	  Mapping [Button 3] -> Y
lvl2: 	  Mapping [Button 4] -> LeftBottom
lvl2: 	  Mapping [Button 5] -> RightBottom
lvl2: 	  Mapping [Button 9] -> LeftThumb
lvl2: 	  Mapping [Button 10] -> RightThumb
lvl2: 	  Mapping [Axis 1-] -> LeftAnalogUp
lvl2: 	  Mapping [Axis 1+] -> LeftAnalogDown
lvl2: 	  Mapping [Axis 0-] -> LeftAnalogLeft
lvl2: 	  Mapping [Axis 0+] -> LeftAnalogRight
lvl2: 	  Mapping [Axis 4-] -> RightAnalogUp
lvl2: 	  Mapping [Axis 4+] -> RightAnalogDown
lvl2: 	  Mapping [Axis 3-] -> RightAnalogLeft
lvl2: 	  Mapping [Axis 3+] -> RightAnalogRight
lvl2: 		/opt/retropie/supplementary/emulationstation/scripts/inputconfiguration.sh
lvl2: 	EmulationStation cleanly shutting down.
